epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,999.414,0.96519,0.57756,1.04842,0.97875,0.99,0.99125,0.77374,0.88434,0.46973,1.00574,0.000293,0.000293,0.000293
118,1007.93,0.96293,0.56171,1.03616,0.96676,0.99078,0.99066,0.77498,0.89318,0.47941,1.01708,0.00028475,0.00028475,0.00028475
119,1016.11,0.99591,0.59393,1.06858,0.96804,0.99078,0.99096,0.78597,0.87781,0.47028,1.01186,0.0002765,0.0002765,0.0002765
120,1024.53,0.98515,0.56246,1.04215,0.97415,0.98737,0.98973,0.78467,0.86128,0.45786,0.99649,0.00026825,0.00026825,0.00026825
121,1032.8,0.97589,0.55643,1.05876,0.95867,0.99616,0.98894,0.79121,0.84219,0.44978,0.98908,0.00026,0.00026,0.00026
122,1041.11,0.96168,0.5636,1.05474,0.97676,0.98573,0.99053,0.80294,0.79481,0.44751,0.97706,0.00025175,0.00025175,0.00025175
123,1049.86,0.94503,0.55494,1.04277,0.98062,0.98573,0.99151,0.7996,0.80692,0.44734,0.98486,0.0002435,0.0002435,0.0002435
124,1058.45,0.92855,0.54171,1.05153,0.98437,0.98549,0.99221,0.79579,0.84255,0.45619,0.99342,0.00023525,0.00023525,0.00023525
125,1066.89,0.92674,0.55422,1.03811,0.97656,0.99078,0.99226,0.79391,0.83334,0.44645,0.9881,0.000227,0.000227,0.000227
126,1075.21,0.89946,0.53817,1.02113,0.9793,0.99078,0.99282,0.79874,0.80362,0.43429,0.97568,0.00021875,0.00021875,0.00021875
127,1083.69,0.88748,0.56081,1.00775,0.97968,0.99078,0.99295,0.80683,0.77278,0.43619,0.96444,0.0002105,0.0002105,0.0002105
128,1092.12,0.9502,0.55828,1.05492,0.97751,0.99078,0.99169,0.80006,0.78969,0.45181,0.97163,0.00020225,0.00020225,0.00020225
129,1100.69,0.86742,0.53234,0.99134,0.96445,0.98118,0.9888,0.79213,0.81369,0.46028,0.97777,0.000194,0.000194,0.000194
130,1109.06,0.91331,0.55318,1.03241,0.96952,0.98021,0.9906,0.80637,0.80202,0.45136,0.97201,0.00018575,0.00018575,0.00018575
131,1117.46,0.88279,0.54249,1.03355,0.96639,0.99078,0.9913,0.80656,0.79413,0.44095,0.97198,0.0001775,0.0001775,0.0001775
132,1125.85,0.88545,0.51658,1.01406,0.97025,0.99078,0.99118,0.80947,0.78923,0.4325,0.96893,0.00016925,0.00016925,0.00016925
133,1134.31,0.90019,0.53701,1.01994,0.97105,0.99279,0.99145,0.81668,0.7706,0.42782,0.96268,0.000161,0.000161,0.000161
134,1142.78,0.89089,0.52937,1.00901,0.97156,0.99247,0.99145,0.81305,0.76186,0.42651,0.96173,0.00015275,0.00015275,0.00015275
135,1151.05,0.87633,0.52396,1.00859,0.97126,0.99292,0.9917,0.81285,0.76368,0.42663,0.96571,0.0001445,0.0001445,0.0001445
136,1159.72,0.89485,0.52604,1.01614,0.98098,0.99204,0.99236,0.8104,0.767,0.42643,0.96657,0.00013625,0.00013625,0.00013625
137,1168.06,0.89136,0.52475,1.01956,0.98098,0.99211,0.9924,0.80695,0.77481,0.42397,0.96531,0.000128,0.000128,0.000128
138,1176.6,0.80764,0.50883,0.98126,0.9809,0.98916,0.99238,0.81243,0.75883,0.4178,0.95709,0.00011975,0.00011975,0.00011975
139,1184.96,0.82877,0.51348,0.97534,0.98506,0.99249,0.99242,0.81699,0.75084,0.41776,0.95323,0.0001115,0.0001115,0.0001115
140,1193.29,0.85786,0.51171,0.98849,0.98407,0.99283,0.99221,0.81819,0.74587,0.41119,0.95154,0.00010325,0.00010325,0.00010325
141,1223.33,0.802,0.47802,0.96161,0.98538,0.99294,0.9922,0.81919,0.73598,0.41233,0.94812,9.5e-05,9.5e-05,9.5e-05
142,1232.14,0.79845,0.46599,0.97083,0.98411,0.98738,0.9919,0.8246,0.7168,0.40958,0.94246,8.675e-05,8.675e-05,8.675e-05
143,1240.42,0.76744,0.46209,0.95632,0.98373,0.98743,0.99147,0.82365,0.71267,0.41205,0.94035,7.85e-05,7.85e-05,7.85e-05
144,1248.84,0.7729,0.46827,0.96208,0.9809,0.99001,0.99077,0.82957,0.70712,0.41307,0.93805,7.025e-05,7.025e-05,7.025e-05
145,1257.07,0.73893,0.45404,0.93732,0.97977,0.99365,0.99064,0.82606,0.71879,0.41252,0.94132,6.2e-05,6.2e-05,6.2e-05
146,1265.32,0.75266,0.45231,0.93764,0.97978,0.9934,0.99123,0.82526,0.71941,0.41058,0.94048,5.375e-05,5.375e-05,5.375e-05
147,1273.56,0.72185,0.43636,0.9365,0.98099,0.99302,0.99126,0.83242,0.70623,0.40479,0.93557,4.55e-05,4.55e-05,4.55e-05
148,1281.86,0.75559,0.45219,0.9453,0.98097,0.99233,0.99128,0.83628,0.68955,0.39977,0.92848,3.725e-05,3.725e-05,3.725e-05
149,1290.08,0.72751,0.43837,0.92723,0.98098,0.99243,0.99166,0.83649,0.68573,0.39693,0.92685,2.9e-05,2.9e-05,2.9e-05
150,1298.24,0.72549,0.4309,0.93662,0.98099,0.99288,0.99176,0.84107,0.68062,0.3936,0.92485,2.075e-05,2.075e-05,2.075e-05
