epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1048.19,0.32949,0.35181,0.2635,0.83786,0.9929,1,0.99423,0.98222,0.9929,1,0.99423,0.97922,0.25672,0.30638,0.22119,0.7826,0.000693351,0.000693351,0.000693351
80,1061.65,0.32197,0.36787,0.26366,0.83634,0.99339,0.99954,0.99421,0.97872,0.99339,0.99954,0.99421,0.9763,0.25524,0.30746,0.22089,0.78326,0.000683919,0.000683919,0.000683919
81,1075,0.32117,0.35976,0.26939,0.83503,0.99226,1,0.99476,0.97413,0.99226,1,0.99476,0.97788,0.26657,0.2997,0.22656,0.78426,0.000674488,0.000674488,0.000674488
82,1088.47,0.33058,0.35678,0.28324,0.85122,0.98944,1,0.99491,0.98616,0.98944,1,0.99491,0.98093,0.23922,0.29856,0.21925,0.7776,0.000665057,0.000665057,0.000665057
83,1102.09,0.30819,0.33432,0.25221,0.83424,0.99439,1,0.99278,0.98444,0.99439,1,0.99278,0.97545,0.2406,0.30529,0.22023,0.7785,0.000655625,0.000655625,0.000655625
84,1115.81,0.31435,0.3643,0.2659,0.84653,0.99489,1,0.99437,0.98563,0.99489,1,0.99437,0.97768,0.23811,0.30135,0.21416,0.77978,0.000646194,0.000646194,0.000646194
85,1130.01,0.30745,0.37217,0.25842,0.83862,0.99454,1,0.99421,0.97574,0.99454,1,0.99421,0.98217,0.25942,0.2951,0.23112,0.78287,0.000636762,0.000636762,0.000636762
86,1143.58,0.30956,0.37379,0.26147,0.83635,0.99427,1,0.99429,0.9828,0.99427,1,0.99429,0.97692,0.2351,0.29969,0.22073,0.78064,0.000627331,0.000627331,0.000627331
87,1157.08,0.30785,0.35443,0.25963,0.83755,0.99387,0.99955,0.99411,0.98057,0.99387,0.99955,0.99411,0.97789,0.24961,0.30061,0.21528,0.7798,0.0006179,0.0006179,0.0006179
88,1170.39,0.31711,0.37971,0.26014,0.82595,0.9937,0.9996,0.99448,0.9849,0.9937,0.9996,0.99448,0.98242,0.24745,0.29538,0.22174,0.7801,0.000608468,0.000608468,0.000608468
